Date,Year,Month,Day,Flow
2/13/1981,1981,2,13,0.036717872
2/14/1981,1981,2,14,0.146871487
2/15/1981,1981,2,15,0.367178719
2/16/1981,1981,2,16,0.734357437
2/17/1981,1981,2,17,12.48407643
2/18/1981,1981,2,18,46.99887598
2/19/1981,1981,2,19,35.24915699
2/20/1981,1981,2,20,32.31172724
2/21/1981,1981,2,21,22.03072312
2/22/1981,1981,2,22,13.95279131
2/23/1981,1981,2,23,10.28100412
2/24/1981,1981,2,24,7.343574372
2/25/1981,1981,2,25,5.140502061
2/26/1981,1981,2,26,71
2/27/1981,1981,2,27,41
2/28/1981,1981,2,28,35
3/1/1981,1981,3,1,174.260923
3/2/1981,1981,3,2,174.260923
3/3/1981,1981,3,3,138.2069389
3/4/1981,1981,3,4,138.2069389
3/5/1981,1981,3,5,156.233931
3/6/1981,1981,3,6,246.3688911
3/7/1981,1981,3,7,186.2789177
3/8/1981,1981,3,8,108.1619522
3/9/1981,1981,3,9,96.14395751
3/10/1981,1981,3,10,72.10796813
3/11/1981,1981,3,11,124.770358
3/12/1981,1981,3,12,119.7795437
3/13/1981,1981,3,13,113.5410258
3/14/1981,1981,3,14,107.3025079
3/15/1981,1981,3,15,101.06399
3/16/1981,1981,3,16,99.8162864
3/17/1981,1981,3,17,92.33006492
3/18/1981,1981,3,18,83.59613986
3/19/1981,1981,3,19,78.60532554
3/20/1981,1981,3,20,74.8622148
3/21/1981,1981,3,21,77.79632837
3/22/1981,1981,3,22,77.79632837
3/23/1981,1981,3,23,76.49972289
3/24/1981,1981,3,24,72.60990647
3/25/1981,1981,3,25,76.49972289
3/26/1981,1981,3,26,38.89816418
3/27/1981,1981,3,27,12.96605473
3/28/1981,1981,3,28,6.353366817
3/29/1981,1981,3,29,4.538119155
3/30/1981,1981,3,30,3.630495324
3/31/1981,1981,3,31,3.241513682
4/1/1981,1981,4,1,5.944757804
4/2/1981,1981,4,2,3.113920755
4/3/1981,1981,4,3,1.981585935
4/4/1981,1981,4,4,1.13233482
4/5/1981,1981,4,5,28.02528679
4/6/1981,1981,4,6,82.09427444
4/7/1981,1981,4,7,59.44757804
4/8/1981,1981,4,8,121.7259931
4/9/1981,1981,4,9,53.78590395
4/10/1981,1981,4,10,24.91136604
4/11/1981,1981,4,11,25.29934387
4/12/1981,1981,4,12,25.29934387
4/13/1981,1981,4,13,31.5132178
4/14/1981,1981,4,14,25.29934387
4/15/1981,1981,4,15,18.6416218
4/16/1981,1981,4,16,11.09620345
4/17/1981,1981,4,17,12.42774786
4/18/1981,1981,4,18,14.20314042
4/19/1981,1981,4,19,11.09620345
4/20/1981,1981,4,20,11.09620345
4/21/1981,1981,4,21,0.26704055
4/22/1981,1981,4,22,0.767741581
4/23/1981,1981,4,23,15.02103093
4/24/1981,1981,4,24,38.38707904
4/25/1981,1981,4,25,44.22859107
4/26/1981,1981,4,26,43.39408935
4/27/1981,1981,4,27,43.39408935
4/28/1981,1981,4,28,42.55958763
4/29/1981,1981,4,29,50.0701031
4/30/1981,1981,4,30,52.57360825
5/1/1981,1981,5,1,48.21396335
5/2/1981,1981,5,2,23.69838877
5/3/1981,1981,5,3,8.171858195
5/4/1981,1981,5,4,13.07497311
5/5/1981,1981,5,5,13.89215893
5/6/1981,1981,5,6,5.802019318
5/7/1981,1981,5,7,22.06401713
5/8/1981,1981,5,8,33.5046186
5/9/1981,1981,5,9,35.13899024
5/10/1981,1981,5,10,39.22491934
5/11/1981,1981,5,11,45.74869906
5/12/1981,1981,5,12,48.52134749
5/13/1981,1981,5,13,56.83929277
5/14/1981,1981,5,14,54.06664435
5/15/1981,1981,5,15,49.9076717
5/16/1981,1981,5,16,56.83929277
5/17/1981,1981,5,17,49.9076717
5/18/1981,1981,5,18,63.77091384
5/19/1981,1981,5,19,45.74869906
5/20/1981,1981,5,20,34.65810535
5/21/1981,1981,5,21,42.06391737
5/22/1981,1981,5,22,37.55706908
5/23/1981,1981,5,23,21.03195869
5/24/1981,1981,5,24,14.12145798
5/25/1981,1981,5,25,10.51597934
5/26/1981,1981,5,26,10.06529451
5/27/1981,1981,5,27,12.61917521
5/28/1981,1981,5,28,30.04565527
5/29/1981,1981,5,29,85.63011751
5/30/1981,1981,5,30,79.62098646
5/31/1981,1981,5,31,82.62555198
6/1/1981,1981,6,1,74.34784654
6/2/1981,1981,6,2,66.31024151
6/3/1981,1981,6,3,60.28203773
6/4/1981,1981,6,4,58.27263648
6/5/1981,1981,6,5,51.23973207
6/6/1981,1981,6,6,47.22092956
6/7/1981,1981,6,7,46.21622893
6/8/1981,1981,6,8,45.2115283
6/9/1981,1981,6,9,45.2115283
6/10/1981,1981,6,10,45.2115283
6/11/1981,1981,6,11,35.84310288
6/12/1981,1981,6,12,36.65771885
6/13/1981,1981,6,13,39.10156677
6/14/1981,1981,6,14,36.65771885
6/15/1981,1981,6,15,40.73079872
6/16/1981,1981,6,16,43.17464665
6/17/1981,1981,6,17,34.21387093
6/18/1981,1981,6,18,31.770023
6/19/1981,1981,6,19,30.95540703
6/20/1981,1981,6,20,21.99463131
6/21/1981,1981,6,21,188.6030632
6/22/1981,1981,6,22,108.8094595
6/23/1981,1981,6,23,60.93329733
6/24/1981,1981,6,24,37.72061263
6/25/1981,1981,6,25,26.11427028
6/26/1981,1981,6,26,13.78253154
6/27/1981,1981,6,27,9.285073879
6/28/1981,1981,6,28,6.673646851
6/29/1981,1981,6,29,3.626981984
6/30/1981,1981,6,30,3.046664867
7/1/1981,1981,7,1,57.20817348
7/2/1981,1981,7,2,44.49524604
7/3/1981,1981,7,3,34.96055046
7/4/1981,1981,7,4,22.24762302
7/5/1981,1981,7,5,12.71292744
7/6/1981,1981,7,6,12.71292744
7/7/1981,1981,7,7,0
7/8/1981,1981,7,8,0
7/9/1981,1981,7,9,0
7/10/1981,1981,7,10,0
7/11/1981,1981,7,11,0
7/12/1981,1981,7,12,0
7/13/1981,1981,7,13,65.44280207
7/14/1981,1981,7,14,84.34850045
7/15/1981,1981,7,15,47.99138819
7/16/1981,1981,7,16,39.26568124
7/17/1981,1981,7,17,36.35711226
7/18/1981,1981,7,18,36.35711226
7/19/1981,1981,7,19,37.81139675
7/20/1981,1981,7,20,40.71996573
7/21/1981,1981,7,21,32.15192084
7/22/1981,1981,7,22,35.86175786
7/23/1981,1981,7,23,37.0983702
7/24/1981,1981,7,24,39.57159488
7/25/1981,1981,7,25,42.04481956
7/26/1981,1981,7,26,43.2814319
7/27/1981,1981,7,27,43.2814319
7/28/1981,1981,7,28,42.04481956
7/29/1981,1981,7,29,40.80820722
7/30/1981,1981,7,30,39.57159488
7/31/1981,1981,7,31,40.80820722
8/1/1981,1981,8,1,22.8870576
8/2/1981,1981,8,2,10.1720256
8/3/1981,1981,8,3,5.086012799
8/4/1981,1981,8,4,2.882073919
8/5/1981,1981,8,5,1.78010448
8/6/1981,1981,8,6,1.10196944
8/7/1981,1981,8,7,0.50860128
8/8/1981,1981,8,8,0.271254016
8/9/1981,1981,8,9,0.2119172
8/10/1981,1981,8,10,0.059336816
8/11/1981,1981,8,11,0
8/12/1981,1981,8,12,0
8/13/1981,1981,8,13,0
8/14/1981,1981,8,14,0
8/15/1981,1981,8,15,0
8/16/1981,1981,8,16,0
8/17/1981,1981,8,17,0
8/18/1981,1981,8,18,0
8/19/1981,1981,8,19,0
8/20/1981,1981,8,20,0
8/21/1981,1981,8,21,0
